,SentimentText
3027, my video's being weird #ChuckMeMondays #chuck!!
3028, My wrists&amp;arms hurt.
3029, Need for speed High stakes doesn't work with compatibility mode on. DAAMN YOU EA FOR MAKING A GOOD GAME THATS TO GOOD TO BE TRUUUEE
3030," net  won't work, might aswell go to sleep."
3031, never again 
3032, Never waking up late again missed an awesome dress T3T
3033,"- new haircut, it's shorter "
3034, new moon trailer not as awesome as I hoped...
3035, new sandals were damaged in great fall yesterday...
3036, nice song..http://bit.ly/iCMV2
3037, NICK BRAUN'S TWITTER IS BEING BLOCKED!!!!!! I LOVE HIM!!!!!!!!!!!!!!!!!! THIS SUCKS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
3038, no &quot;the postal service&quot; on twitter.....
3039, no 1 follow me
3040, No Baseball Today (:  I Hate the Rain!!  It is May right?
3041, no B-ball 2day Gyms getting fixed
3042, no body will talk 2 me.     *cries*
3043, no bonfire but maybe Venice Beach with Steph or comedy club with Sean
3044, no chance...
3045, no dishwasher
3046, no job at target or party city. plan c. does anyone know how to make money without having to apply somewhere?
3047," no MMS on 2G iPhone!  Why does Apple say its a hardware limit when jailbroken iphones can, even my T68i from 2002 did it"
3048, no more arrested development. i am sad.
3049, no naptime... being dragged to dinner. sigh! sleep sounds so good...
3050, no new anime releases tonight that I watch.
3051, no new svu for 3 months or so. *sniffs* I'm going to be so bored.
3052, No one is updatinggggggg /cry
3053," no one responded to my meetup for breakfast this morning at Carls Jr on 2nd, oh well, I'll still go myself, only closer to 7:30."
3054, no one stays up as late as I do...
3055, No one to have dinner with...
3056, no ones talkin to me  my baby boyfriend is asleep D;D; im sad
3057," no Otalia today, but yeahhhhhhhhhh tomorrow"
3058," no phone call, no text, nothing....12:30"
3059, no room for standby flight. Now I gotta be here for 4 more hours.
3060," no swimming today, it's raining. Guess I'll get some reading done today, going to barnes and nobel for new books."
3061, no they are not.. stupid changes! Why they did last year and not this year?
3062, no transformers today! my ride stood me up can u believe this crap
3063," no work or school, because my ears are leaking"
3064,=-- I think I broke the heater
3065, i think i finally figured out how to twitter on my phone!
3066, I think I have a cavity...
3067, I think I pulled a nerve in my back putting together a shelf for bd. Would that be neuralgia?
3068, i think i'm going to be sick
3069, I think it would be fun
3070, i think i've killed my laptop
3071, I think people get out of bed in the mornings wondering how they can piss me off.
3072, I thought it would be like.. 2pm by now.
3073, i thought we might see real @GregGutfeld tattoos. #redeye
3074, i told my dad I love him this morning and he just said bye.
3075," I took the blame for everything that happened the other night. part bc I don't want any1 in trouble, part bc idk the other peoples names!"
3076, I wake up to something I did not want to read.
3077, I wanna be at Encounter  blah.
3078, i wanna go 2 sleep but i cant tear myself away from #bb10
3079, I wanna go home
3080, I wanna go to the apple store and get a free ipod from ryan leslie!
3081, I Wanna Play Dodgeball 
3082, i wanna play scattergories at jean grae's. left outttt.
3083," i wanna write some reviews of films &amp; music releases, so i go &amp; leave this place. Not for a long time of course.:]"
3084, i want  my  mcfly  album  back 
3085, i want a fob tee!
3086, i want a happy day
3087, I want a hug now ..
3088, I want a regular day
3089, I want all my friends back.
3090, I want it BACK NOW!: http://bit.ly/PP1WZ
3091," I want kisses, too."
3092, I want LinesVines and trying times now 
3093, i want some change! Hos!
3094,- I want The Sims 3 soooo bad!!! 
3095, I want to go on facebook. I can feel the notifications piling up. I don't like it. Shit.
3096, I want to puke... . They have stolen my blood :ï¿½-(
3097," I wanted the shiny shiny FA Cup. Berba can go away now, yesyes."
3098, I wanted to go cinema......
3099, i wanted to win but its allll good lol
3100, I was more interested in good python port for .net rather than java re: http://ff.im/396jG
3101, I was suppose to be mentality prepared for this but can't help it get to me
3102, I went to the store. I woke up early and everything. THEY DIDN'T HAVE IT YET! OMG! I am so beyond pissed right now..
3103, i wish @ruebluestar192 was online right now so I could talk to him before I have to leave.. *hint hint*
3104, I wish he would talk to me and have a real conversation.
3105," I wish I could do somthing amazing. no tallent that i know of. apart from Lame jokes, &amp; my dolphine noise. I'll let u know when i find it"
3106, I wish I could forget ...
3107, i wish i had my tablet pen :c...
3108, i wish i lived in atlanta
3109, I wish I wasn't on my way to work right now!
3110," I WISH MY BESTIEBYTCH WAS HERE AND NOT DEAD LEAVING ME ALL ALONE RIP AMIEE I HELLA MISS HER, SHE WAS THAT 1 PERSON WHO INDERSTOOD ALL"
3111, i wish my bf realized how great i was
3112, i wish my mom didn't cancel cable!!
3113, i wish someone was here to watch this movie with me. sucks watching titanic alone. haha depresing!
3114, i offically dnt like eyeliner. Ughhh im so hungry !!!
3115, i only 45 min lunch break today... stupid dead filing
3116, I really don't even know what todo.
3117, I really don't like my new haircut... It's too short.
3118, i really need a hug
3119, i really wanna watch the david cook and archuleta concert!!) sooo HOTT!
3120, I sad right now 
3121, I said I get a SUMMER flu not the swine flu    But now bilions of swineflu tweeters are following me 
3122,"- i sang early tonight, one song...'twas fun. "
3123, I see you babes! follow my boy @RealTalk24  @MsMariaG @BUTTERSCOTCHBRE @cheeksgreatbarz
3124, I seem to have lost 2 followers today! Should I take that personally am I really that boring???
3125, i seriously hate this assignment. sigh. and i got no mood to do other assignments also coz i'm worrying too much abt this one!! grrr!
3126," I shine through my smile, someone said. I'm just Jamba-ing!!"
3127," i shouldn't even bother watching the mmva's, it's only gonna piss me off."
3128," i so wish my head would sort itself out, god i hate being 15 sometimes! "
3129, I spoke too soon.
3130, I STILL CAN'T MAKE VIDEOS 
3131, I think I did good in the math test! I need to write nao...34 655 words!
3132, I think I have the handwriting of a little kid. Probably because I type so much and write so little. http://twitpic.com/7ijsv
3133, I think I'm developing an anger problem
3134, I think I'm getting sicker everyday.
3135, I think I'm getting that stomach virus going around....nooooooo.
3136, I think I'm starting to get sick... piglet flu?
3137, I think imma have 2 take my dog 2 the vet.... 
3138, I think the price of my skating lessons has gone up from Â£48 to Â£60!!  Won't be doing that this term then!
3139, I think waayy to much
3140, I thought I had kicked the insomnia bucket after doing so well and actually getting to bed before midnight the past few nights.
3141,"- I thought I'd seen everything, until I saw EVERYTHING before my own eyes last night! I mean it, it really does break my heart sometimes "
3142, i thought the hills would be an hour long
3143, I try t remind myself often that even the smallest input  can produce   big results  http://tinyurl.com/2mn6vl  
3144, i try to fix things and all it does is make it worse. What else do i do.
3145,"- I wake up, shower, eat...and go back to bed. I'm so tired all the time "
3146, I wana be home but jbiz is gay  he's gay
3147, I wanna curl up in a ball todayyy. Pack tonight. I leave day after tomorrow. This is NUTS.
3148, I wanna get crunk with randoms again. Just not as bad. Lol
3149, I wanna go home :0 fuck myself
3150, I wanna pick up my Jimmy Choo shades. Post Offices should reeeeeeeally be open on Sun!
3151, i wanna recieve his messages 2 do it for me get on mine bed him and chit and put that i can get his shit you know my email and the pa ...
3152, i wanna record new material
3153, I wanna use my swimsuit!!! 
3154, I wanna watch transformers; Revenge of the fallen.. aw man. Seems soo good !
3155, i want a house
3156, Noone I know is on Twitter!!!
3157, noone wants to talk to me  lol
3158," not even one single reply.what are people look for nowadays? anyway, changed my hosting to GDI, also attended the webinar, not bad..."
3159, not feelin well
3160, Not feeling good. But on the plus side im wii-fit ;)
3161,=- not feeling very well at all today
3162,=-- not feeling well
3163, not happy
3164, not now is on tv!
3165, Not very well.
3166, nothing
3167," Nothing left to do but sit back, relax, have fun, and enjoy the ride! Lmbo. XD"
3168, nothing to do alll dayyyyyyy.
3169, nothing with Lalalauren_ 1weikert 2hale 3.study 4morello 5hartley 6cardona 7lunch 8shongut
3170, notsugripp http://www.kivisaar.com/itblog/04/2009/898/notsugripp.html via @addthis
3171, now I have only 39 followers
3172,- Now my ex-daycare clients claim that I owe them over $400 and are going to take things to the &quot;next step&quot;. 
3173," now that i kno is a lie, whateva :'("
3174, nuffin more eckkky that i cant take beside being disrespect is :O being ignore...blahhhhhhh
3175, nuggets out....
3176, Nuu supa stop that its not good fer your health
3177, nvm not double didgets someone on my followers was bad so i had to block them  sorry person
3178, o seara perfekta: vodka &amp; bertolucci (the dreamers)
3179, odd i tried to call mitchel musso but it dosent work.... 
3180," Of all the things I lost, I miss my Community Organizer degree the most."
3181, Off from work and no wifey...
3182,-- off to Kokomo to see if I can squeeze into this dress! Then shoe shopping with my seeester! And visiting my Brandice! 
3183," oh dears, @Rainbow__Bright.  I'm so sorry to hear that."
3184, Oh great need to tidy my fucking room 
3185, oh I miss it
3186, Oh Lebron. Sex and the City will cure my sadness temporarily.
3187, Oh man When you make Fishhes you end up fishy.
3188, oh nooo crying time..this part of the movie is so sad
3189, ohh I need to sleeep but I can't uhhhh :@
3190, ok good im not the only one.. This weather makes me SO HAPPY!
3191, ok i miss u too soph 
3192," ok so I overreacted. My bad, I was in the wrong shit happens. Just wanna talk to you."
3193,"- Ok, how about just pray for mental clarity while drumming today since &quot;enough sleep&quot; didn't happen...  Have .. http://bit.ly/HskKD"
3194, okay have a good evening everybody.
3195, okay. Imy
3196, omfg! 7:30. ekkkkk! im so excited to see paramore! im only going cause paramore is going to be there. (: and this is my birthday present!
3197," on a big boat bobbing up and down on the Thames, sun shinning, the aroma of our lunch filling the restaurant and a beer on it's way "
3198, on the sad boat again why do I let shit like this happen
3199, on the way to work ...  didn'T noe that i have work today .... 
3200, one down. Two to get this shit right. ... Kenny any minute now.
3201, one happy man right here people 
3202, One little boy with ants in his pants and his shirt and his hair - Angry Ants - Lots
3203, I wish things were different
3204, i woke up to a migraine/my sinuses acting up! Nooo..
3205, I work at 1030 u?
3206," I work at 930 the morning after crank mob. ill have to cut this one short too, total bummer"
3207, I work until 945. I'm unhappy about that. Whatev. Avett bros is tomorrow night.
3208, I would LOVE to ride the superman right now...
3209, I. am. so. sorry.
3210, IÂ´m cold!!! Today is 12Â°C here....
3211, iÂ´m soo sad .. i want somebody to love me to be a real gentalmen not like my last boyfriend iÂ´mm soo sadd ... (L)
3212, Ian Crawford isn't with The Cab anymorrrrrrrree
3213, I'D RATHER BE IN THE  BAHAMAS!
3214, idk if i should have said that
3215, idk what else to do
3216, ih had 110 followers and now ih hav 99 heyyy twitter
3217, I'll miss this year so much. I love high school. Jamal is so freaking LUCKY! He gets 2 go drinking w/ Rob! I can't even drink at all! 
3218," ill, so now school. you'd think i'd be happy because of that "
3219, IM A LITTLE SPOILED BRAT !  DONT HATE ME FOR HACKING YOU SISTA &gt;33
3220, I'm a silly girl.
3221, I'm all alone on ere peeps! Talk to meeee x http://myloc.me/484V
3222, i'm all alone on twitter!!
3223, I'm all finished listening... I'm sorta considering giving it another play though. I might have missed a joke or two after all.
3224, Im am going to send some twits to some folk...............
3225, I'm awake! it's amazin
3226, I'm being threat'ned to attend bw3 tonight!
3227, i'm bored ! w/e everything is gonna b fun later in da day ! bye bye world till later
3228, im bored anyone wanna talk
3229, im bumped cause he cant go.
3230, I'm chill. He's the one freaking out.
3231,- i'm confused with this twitter lark 
3232, I'm finally home...but sad that AE is over....I MISS EVERYONE ;__;
3233, Im gna hate today. I already know.
3234, im goin' to sleep or watch tv . loveeupeopleâ¥
3235, I'm going to play with my camera today
3236, I'm gonna have some ramen and play a FF game... haven't decided which yet.
3237, i'm gonna watch horton again with mum &amp; clo for some laughs.
3238, I'm having a homework fail right now. I wish I could stop time.
3239," I'm having a shitty night too, ihope you feel better @StevenRayMorris"
3240, im in a good mood despite the fact my lunch is being taken over by uni shittee!! Will have to do some after the View!!  bad times!
3241," I'm in a great mood, but ... I feel a little guilty Q_Q xD"
3242," I'm in garden, chillin'"
3243,- I'm in the boring bank. Some bloke has just asked about a cheque he 'sented' oh the joy of modern English. 
3244, Im in trouble for leaving the heater on all night
3245, Im Just Plain Pathetic 
3246, Im like this right now http://twitpic.com/7zn9v
3247, Im more than a pair of legs. I have a great sense of humor and I'm filled with tons of random trivia. So y won't anyone hang out with me?
3248, I'm not buying this dress cos its 30 dollars. But my hearts seriously gonna ache for days after it.
3249, I'm not cold!
3250," i want a iphone now lol, getting a tad bit jealous stupid 10 Month left on my Tmobile contract rawrrrr lol"
3251, i want an octopus flash drive 
3252, i want everything to be back to normal.
3253," i want movies, but my back doesn't want to cooperate so i can put on pants."
3254, I want my stupid fourth Harry Potter book.
3255, i want one!
3256, i want some ice cream
3257, I want to buy the game Bayonetta and cosplay her. Definite video game vixen. ;3
3258, I want to get out of here before that guy comes back and chops off my hands.
3259, i want to go down...
3260, i want to go now
3261,- I want to stay in bed all day!  
3262, i want to twatt with the asian...
3263, I want to watch the Super Junior video Catherine sent me but I'm scared. *Looks at Mary*
3264, i want Van Basten to b the milan manager !!!
3265, I wanted 2 go 2 the beach but no one else wants 2 go again :/
3266, I wanted to continue that convo. Oh well.
3267, i wanted to sleep in...
3268, I wants to plaayyyy
3269, i was go the middle of watching 'strong baby' by seungri and the stupid power went out.
3270, I was helping mommy clean and we found clothes we bought for daddy that he never got to wear.
3271, I was not able to pay for my new domain and hosting because the bank closes at 3pm OUCH!
3272," i was vometing all ova the place.. and at the end, mrs vall was like to my mum &quot;is ur daughter a bullminic&quot;...like wtff"
3273,-- i was watching How I Met Your Mother when suddenly all the screen went black &amp;its off!! shitass! what happened?! 
3274, I wasn't able to make to to the fre Chaka Khan concert in DC *shakes fist*
3275, i will be to sad to go! 
3276, i will can you believe its been a month already!
3277, I WILL MISS U...
3278, I will watch supernatural now niahahahahaaa awesome show
3279, i wish he wasnt so down on himself idk how to make him cheer up boys state is depressing the crap out of him &amp; me..missing him like crazy
3280, I wish I could heal @sarabatch's necl
3281, i wish i could live in Sac but bring all my friends and band with me
3282, i wish i could sleep in like everyone else.
3283, I wish I felt good enough to play in the rain.
3284, I wish I got some breakfast. My stomach is growling.
3285, I wish I was in Alabama right now. *sigh*
3286,=- I wish I was watchin LeBron play
3287, I wish there wasn't any bad in this world....  I don't know how much more I can take before I break.
3288, i wish u guys would stop fighting
3289, i wish we could have spent the last full day of skool together..walking 2 class &amp; going 2 lunch with you would have made my entire yr ...
3290, i wish you had your phone &lt;3 i can send you emails from my phone if you give me your address
3291, I woke my friend in the middle of the night! All because of my cousin Grace ! She &quot;PING&quot; and say &quot;HEY&quot; to him in 12:11 GGRRRR
3292, I woke up from the deadly pain in my ribs...... I just know I gonna die!  cry cry cry it hurts so bad! Oh and good morning! 
3293, one more final then bye bye school.
3294, one of my cats is very ill after reacting badly with her injection Bloody vets! ï¿½145 to make my cat ill! Strong words to be had!
3295," One of our two carp died today. He is more than 2 feet long and looked healthy otherwise.It has been really hot here, not enough oxygen."
3296, one point!!
3297, one session in the gym and I'm having problems with my leg again (slipped disc = sciatic pain). Will have to us my stick this week ((
3298, onoes sunburn!
3299, ooh such a lovely morning! xoxo
3300, ouchh i poked my eye.
3301, our internet is ''experiencing service interuption''.                              KJS
3302, our plans changed &amp; we aren't able to see Transforers tonight!! Sorry @justcherie &amp;@brittany_ko make it up to you!!
3303,- out for a late night cigarette. Can't sleep. 
3304, over it
3305, owireee
3306, pain errrg! stupid cold and stupid people confusing me!
3307, Paranoid LOOOOOOOOOVe that song @jonasbrothers Good job! AMAZING!! http://bit.ly/Qqaqp
3308, parents are back. haha
3309," parents have fucked off to the beach without me. I hate hot weather when i'm revising ahhhhh, I need tomorrow."
3310," party, the sats+pixie24th party, bbq, party ! &quot;vacation&quot; w the bestie, forrrrreal dude! xx"
3311, Patrick Wolf came on to introduce Serafina!!! x x
3312, Perfectly cooked half-boiled eggs + my favourite spoon and that home-brand dark soya sauce makes my day!
3313,- phewwww! i did better then i expected on my mid-term! one more to gooo and then i ammm freeeeeeeeeeee! 
3314," phone on the verge of dying - smartphone indeed, come on guys build a better battery #G1"
3315, picking up new mcfly tickets at the venue. SO EFFING EXCITED. i nearly cried with relief. haha.
3316, plans didn't come threw again! what does it take to just have a good exciting day with that person&lt;3?!GOODNIGHT!
3317,"- PLEASE keep my roommate, Dominic, in your prayers. He's back in the hospital having surgery again. "
3318, please talk to me.
3319, Please?: http://eluts.com/frontstore/Item/item_zoom.asp?item_num=3418&amp;catalog_num=3&amp;mart_id=lutsdoll&amp;level=yes&amp;mother_catalog_num=554
3320, point still not taken...
3321, poker wont work 
3322,-- ponte winery in temecula has amazing wines! you should go out there and try it!  love love the beverino. cheers!
3323, Pool still closed.  We will take another look at 3 pm.  Please check back.
3324," poor Aidan, I wanted u 2 win"
3325, poor uncle james pleease get better  ;-(
3326, poos Farrah. her last 3 years have been soooo sad.
3327," POSITIVITY: Inspiration From O Magazine: In a world full of negativity, it is sometimes hard to stay positive.. http://bit.ly/10SMJp"
3328, preordered new iPhone and saw it just went out today from Apple and not getting here until the 22nd... which mens the 23rd - Bummer!
3329, pretty sad right now
3330, Put on way to much make-up trying to hide the fact that I'm sick. I hope my boss doesn't send me home early again!! 
3331,- quh'nite twitters ! uqhh qotta qet up at 6 for work. 
3332, im not going to school today!
3333, im not liking this. It sucks
3334, im not sure if im up for the premiere of the song
3335, I'm not tall enough to collect the oranges from my tree. I want my fresh orange juice!
3336, I'm off to sleep!!  Goodnight tweetts  enjoy your day!!  xxx
3337, Im out for tonight! Talk to yall later!
3338, im pretty sure it would fit into my pants as well!! @beaulieu85 its amazing but i jus found my tiny lil greg guy that i got from pbmall
3339, I'm rollin ova here smh caus I can imagine my daughter doin that rite now n she jumps sumtime too lol
3340, im sad all the good phones are over 100 dollars. and I can only spend 100 dollars.    
3341, im sad i hate relationships they suck
3342, im sad im suppose to b off today but i gotta go to wrk!!!
3343," I'm sad. Idk why you're bothering me, but you are. Which makes me feel worse, because I'm being a bitch to you. &amp; you don't deserve it."
3344, im sad....hubby had a show tonight at club Rocks and the babies are sleeping so im all alone 
3345, I'm seriously not feelin the BB10 vibe this year. That eviction lacked something..
3346," I'm sick, very sick, its not good.."
3347, im sleepy... about to go home and take a nap
3348, I'm smiling because I lost! I lost 24 lbs. so far! Join the thousands of losers! http://bit.ly/vWDW2
3349, im so awesome 
3350," I'm so bored, and I have exams next week &gt; and I feel ill  lol everyone feel sympathetic for me ;-)"
3351, im so excited!
3352, IM SO FUCKING RAD! *points at last tweet* only missed 3 TT's  which happen to be: #e3 #clothdiapers and JBARSODMG HAHA DONE!
3353, I'm so happy right now .. &amp; I have no idea why
3354,- I'm so mad at my mom for not letting me and @amandambryant road trip to Iowa in July to see @VARSITYFC and @vfactory 
3355, im so sad.. sister is leaving for across the country tmr..
3356, I'm so sorry for your loss. @yeokerlinexd
3357, I'm so tired that I can't sleep!  What the F?!
3358, im sorry I thought u name was sadie shame on me
3359," Im sorry Marena. If you liked scary movies, I'd say come with me."
3360," i'm sorry your team couldn't hit today, King Felix. You pitched a great game."
3361, I'm sorry! I hope Rumi feels better soon. Hang in there. OOXX
3362, I'm still tired. I think Il make some coffee. Hopefully it keeps me up. z.z
3363, I'm still tired. I think I'll make some coffee. Hopefully it'll keep me up.
3364," im stressed. this wind is just... killing my vibe. also, im like breaking out in pimples, gross, and i dont know whyyyyy. ugh shoot me!"
3365, I'm struggling 2 learn 
3366, I'm supposed to feel better. Atleast I think its over. No more secrets. EVERYTHING is out in the open.
3367," im sure i'll do something in the next day or two that will set them off and even though theyve done worse, i'll be the bad guy. "
3368," I'm surprisingly happy, and people who make rumours obviously don't have a life"
3369, im the happiest i could ever be !  baby stayed with me at my elementary school  i love you babe.
3370, im the only one with an ipod full of pictures!
3371,=- R.I.P Granddad... Five years Today... miss you Loads Grumps  xxx
3372," R.I.P. to my ipod, officially. Dang. The battery actually smoked (trying to fix headphone jack). Sucked it up &amp; ordered a new one. Blah"
3373," raining again... in library atm, going with nana to pics at 11, and then going to concert at the college tonight. busy life i do lead "
3374, random silly texts from great friends makes face and tummy hurt from laughing too much... simple mind simple pleasures lol
3375, Realized that ManagingOnlineForums hasn't been reviewed on AMZN in May! I'd love if someone would share their thoughts! http://is.gd/JolG
3376, reallly wish the trampoline wasnt soaked right now ..
3377, really lol
3378, really needs $ and needs to save alot
3379, really really sad! one of my best friend's left school today! i'll be seeing him in the summer holidays though 
3380, really sad!! Tried to extend my stay in Hawaii but it didn't work out. Ahhh! I don't want to leave. I'm not looking forward 2 coming home
3381, Really saddly At Work.... yeah back to work after a lovely vacation at Dominican republic &gt;&lt;
3382, re-bandaged &amp; back to the regular vet tomorrow to fix their mistake. inner tie has come loose to create internal bleeding that is leaking
3383, red wings are gonna win again...
3384," reinstalling WoW, I was so weak..."
3385, Relay for lifee!
3386, repetition of a word two times in a tweet fail
3387,- Reruns of &quot;House&quot; that have Kal Penn in them make me sad 
3388,- revised biochemistry a bit - now taking a break - I've deserved it!  Letting go a bit XD
3389, right now i so hate life.
3390," RIP BRIEANA PAIGE HOPSTAKEN : MARCH 1ST, 2009 - APRIL 30TH 2009. love you and miss you..."
3391, Roommate reunion and im is stupid NEW MEXICO
3392,=- Roselyn Sanchez is so BEAUTIFULLL
3393,- s.a.ts      - studio - jess's  killah Q is back where the fuck is you
3394, sad  sad  ~* MgoneWild *~
3395, sad awkwardness
3396, sad cuz i can't put twitter on my Aim info 
3397, sad day*Lakers please make me happy with a W
3398, sad face twitter's messed up my page
3399, sad face.
3400, sad now.......
3401,"- sad she won't be able to see Little Brother at Jazz Cafe on 1st July  However, I will NOT miss Eric Roberson on 8th/9th of October."
3402,- sad that i'm not going pub quiz boozing again this week.  will have to settle for a bottle of ale and a movie
3403, Sad that Sunset Rubdown is sold out
3404, sad times in the hill
3405, sad to see friends go... Have a good drive back to Washington state Standfield Family. See you again soon!
3406, sat in water
3407,- scared soo bad. needs a cuddle buddy.  oh man. ash is asleep and its daaaark! AAHHH!!! alien leg!
3408," school/band/maths/music lessons :,("
3409," secretly fighting over boys , secretly Jealous of there 'flirting' .. Hmm , i'm sick of it  and i can't go any longer. Sorry hun. . ."
3410, see my depseration here?? lmao - btu  really its not funny. FML &quot;/
3411, she just plain freaks me out.....
3412, she makes all the bullish worth it http://mypict.me/2NIU
3413, I'm too tired for 21 more days of this; I miss you&lt;3
3414, I'm very Sad.. Hoping for you Forgiveness.. 
3415, I'm very very happy!!!!!!!!!!! ;-)....Lalalalala I'm in my Taylor Lautner World haha!!!!!!!!
3416, Imma just twitter away at 4am in the morning!lol
3417, in a good mood
3418, In a good mood.
3419,- In bed watchin 'BTVS' wiv an achey head 
3420,"- In case you missed it, check the new love on the bloggety! http://www.studiofourblog.com/  Leave comments to let me know what'ya think! "
3421, in one hour im going to do a french exam :S im nervous aaahh!!!!!!
3422, in so much pain!!
3423, iPhone update 3.0 won't work for me ;( I keep getting a message popping up say the server was disconected  No jailbreak yet either ;(
3424,"- is a little upset at this hair thing ..      work tonight , wendy's anyone ?"
3425, is an awesome band. (it's pronounced &quot;colonopenbracket&quot; fyi.
3426, is anyone as turned on as i am?
3427,=- is at the toyota dealer waiting for An oil change
3428, is cold
3429,-- is doing alright this morning ! &amp; lovees Calculating Collapse 
3430, is hurty
3431, is it bad?
3432,- is it me OR is jeremih a lil cutie ...  ... http://bit.ly/15tP6e
3433,-- is juss chillin' outz listenin' to dem mad tunes.. beautiful night n feelin' goooood.. n waitin' 4 cuz to come on over.. 
3434, is missing him already
3435,- Is not looking forward to the next 6 weeks of hell (summer session I @Temple)   June 30th can't come soon enough...
3436, is now home alone till i myself leave for the airport friday morning
3437, is sad about the air france catastrophe 
3438, is stuck at home with a barfing kid. Can flu season please be over now
3439, is upset the hubby isnt ina gud mood n wishes i was dere 2 comfort her n listen like i always do...u kno im hear if u wanna talk. LOVE U
3440, isn't today a wonderful day?
3441, it hurts...
3442,=- it is A bit aggravating that I have run out of smokes.
3443, It is stuff i probably shouln't be talking about at all
3444, it makes me sad when I can't think of anything interesting to tell my grandpa. I must be so boring to him.
3445,-- it makes me wish DEARLY that I could contribute some to the pile.   *sad sigh!*  I can't even write fan fics. how can I write a book!?
3446," It makes the format tighter. I prefer it now. @LorelieBrown new to me, then. lol I only started getting &quot;serious&quot; about my writing..."
3447, It must be a horrible year for airplanes. I REALLY do not want to get on one any time soon.There must be something in the air (literally)
3448," It seems when I'm single, I wake up promptly at 9am. Whereas when I'm not, I sleep terribly late. So odd. :\"
3449, it sucks being single even if it has been just 5 hours
3450, It tis the last the last day of Autumn!!! I don't want Winter!
3451," it was amazing, when i saw it i started screaming. But then my sister yelled at me and told me to shutup "
3452," it was announced that I am officially leaving work, I thought I'll be happy to quit work. Oh, well, I am going to manage my own business."
3453, she's a little dumb.... kinda scary that she has a kid
3454, she's driving again
3455, shes on morphone. had 3 stints put in her heart. wtf
3456, SHOOOT ME.
3457, show fifa
3458, sims 3 is messing up abit....
3459, Sims 3 is pure AWESOME-ness! created simon Cowell&amp;Terri Seymour! They're living in the same house. Haha!
3460,=- sitting ion the garden with Hayley drinking Cider....lovely relax after yesterday...my First day tomorrow.....ohhhhhh.....
3461, sitting making cookies with my cuzzy!!
3462, sleeping is for losers!  and people who arent vampires
3463, SMILE! Happy looks good on you  http://tumblr.com/x7o1xg3d9
3464, smile. that's what i'm doing. i'm shining and blooming because i'm so happy.  i just wanna dream of happy thoughts forever.  hahaha!
3465, smiley faces
3466, SNL doesn't come on here for another 70 minutes!!
3467, so depressed. I hate everyday right now.
3468, So excited.
3469, so fuckkkked up au'ready!
3470, so good so good.
3471, so happy. less than a week!!
3472," so i had sushi with my best friend today from sushi-q, man that was some of the best sushi iv ever had in my life! what did you do today?"
3473, So many old but good movies on TV tonight. National Lampoons Vacation then The Princess Bride. Wonder of I will ever get to bed?
3474,- so much for the pool ... I get to wait for the maintenance man!...yay for me 
3475, so sad so sad. I at jux standing against the wall. I wana jive
3476, So sad! I hate my internet! It makes me sad! 
3477, so sad! Its her birthday and that bratty boy ruin it!
3478, So so sick..gonna get wrapped up warm and watch some movies
3479, so tight right now we shoulda won that but epic none the less had me on edge all game odom definitely puuled the clutch... Damnit lewis
3480, so tired ... T.T&quot;
3481, so tired from work http://bit.ly/pQHGk
3482," so, @marielgates, i'm still curious as to this whole..David thing."
3483, Sold another shirt on CafePress: http://bit.ly/Fszc2
3484, some burglars broke into my parents house &amp; stole some stuffs &amp; a car  People these days..............
3485, Some people take all the joy out cooking. Meanie
3486, someone came for the black + white puppy. Grrrrrrrrrrrrrr I love them.
3487, someone come and save me!!
3488, someone give me earphones for my music..please.
3489, someone told me latin females dont have a sense of humor.
3490, something I ate last night was NOT good....
3491, something tore up my tomato plant last night. Immediately suspect raccoons. salvaged some green ones to fry.
3492," Sometime in the night, I had to get up and drag my cat to bed because she was scratching at the door. Now my tummy's all scratched."
3493, Sometimes I wonder...
3494, sooo sad  please stay!
3495, sooo tired but i havent been getting sleep at all lately &gt; mom wont let me take sleeping pills cuz i might get &quot;addicted&quot; uuuuuuuugh
3496,=- soooo many voicemails to return and emails to answer... I guess I should get out of bed first.
3497, i won't b able to finish my hours!!!  it sucks!!!
3498, I won't see you at all tomorrow. Its work then movies. Then sleep before more work. The one day a yr I should see you I won't... 
3499, I wov you
3500, I... Don't know 
3501, Í´m just happy... although I have a few things in mind =S damn u tricky mind of mine
3502, IAM BORED.
3503, id forgotten how upsetting this is.
3504, i'd rather have you and my girlfriend at my crib runnin round naked  girl gotta girlfriend on in bed.. Nice work @MamsTaylor
3505, idk wat to do! someone get me out of this house... fast.... to much tension that i dont even noe about! (left out)
3506, idk why but my heart just sank when i saw that.
3507, If everyone in the world lived like me we would need 3.1 planets to support us.  http://tinyurl.com/lt4q4m
3508, if i didn't have karen + mia at this moment i think i would start crying. maybe i'd start crying anyway.
3509,"- If you end having to eat your words, don't worry, they taste like chicken  "
3510, If you follow me ill follow you back and give you a free blowjob!
3511, ight bro
3512, ihop sounds good.
3513, Iï¿½m feeling greate 
3514, ily all my frendsssss &lt;3&lt;3&lt;3
3515," I'M A GOOD LOOSER, BE HAPPY!! I STILL LUV U!1"
3516, I'm afraid that Sony will make me want a PS3.
3517, im all alone they all went to garage sales
3518, im being serious. I have many stories. Cso believes me
